"beta","e0","lnalpha","sigma"
0.14470172218323,-0.119715920954556,1.6970265952385,0.415909667107709
0.0980589095025916,0.321994690151199,1.37131163095044,0.379607042515867
0.110147990681362,0.0546326089024382,1.49298347557158,0.402956064437191
0.144540593880534,0.293448443908565,1.73354988832645,0.316842229670404
0.18121208418871,-0.260075409308201,2.00752969363789,0.434998452662179
0.124512601524903,-0.00856291402968808,1.65557493591367,0.466627646436049
0.135760721629223,-0.0439764819500813,1.64927767316381,0.39965311606152
0.149059532008615,0.166248573413101,1.84659726930244,0.379001366190819
0.150779451416265,0.0476757258766131,1.93306021602613,0.559041154776773
0.13572831659713,-0.163387396012215,1.66495308931528,0.369693572414037
0.1164013383154,0.0717521664032056,1.44689062866048,0.452704139329304
0.126898069356929,-0.197470232299532,1.66896438492976,0.399235624769269
0.155778104321031,-0.200739476631015,1.81197701199408,0.419256681471025
0.121114579686055,-0.0221327721475695,1.56512396015649,0.353012422614439
0.16159921631173,-0.29982131466367,1.8102108866459,0.352279101313782
0.10377134960859,-0.147466360878796,1.45694598516548,0.464576990733239
0.150968567553867,-0.25574213899766,1.72087500012807,0.385222824540534
0.123021302212234,-0.134411566802795,1.42002529026658,0.353331632686012
0.11893531546577,-0.226553884529024,1.48494052488528,0.423098228014815
0.129642563053531,0.281307989844041,1.56580325931371,0.389331641314388
0.132389560291765,-0.275301326304133,1.54197320484599,0.401275816603654
0.12641403872819,-0.0365056595348662,1.70174855073436,0.460575584419101
0.15094389123229,-0.182213881817404,1.894509949841,0.391922956761789
0.102095257704725,-0.284544730345247,1.47728839530927,0.427193932062844
0.13812974216112,0.026071541257596,1.81910976106757,0.46539500179991
0.121397949143535,-0.0697560201100812,1.59354599269428,0.410617188723633
0.143742209023535,-0.0124377197087591,1.69562244553057,0.396047354568938
0.117872613941235,0.0231882605400036,1.48379032698832,0.403923152917546
0.133029999503208,-0.106433978065591,1.60334616722577,0.384062499063545
0.115923453121278,0.114433620120554,1.56964038334833,0.424138464940741
0.113281825200849,-0.120350344138216,1.53829234561343,0.332699669501481
0.129557601726461,0.215560528006499,1.52668350635528,0.42503509124251
0.115892967904815,0.214465535953005,1.41845325838404,0.391064814413387
0.167654199097154,0.378064648056504,2.02395117269761,0.462970203441222
0.113372099415042,-0.385773287941334,1.43739508681014,0.442020550176572
0.140960599429062,0.0289551321458354,1.67380660748361,0.427275505524071
0.126858480385438,0.250117318117122,1.62974847270262,0.38584119219314
0.150450065675952,-0.469575376759712,1.83770406760616,0.375120303824324
0.123481413305572,-0.0243582620648378,1.4990339759045,0.404421701613821
0.133726579944931,0.398910496828321,1.65962712816448,0.398392234329494
0.117314416794418,0.225925910451127,1.36763243432788,0.415387967678806
0.13920634810306,0.0037253823633861,1.67374066238885,0.335088800080799
0.133730820456438,-0.0779346085200611,1.57746563474197,0.370578808959549
0.143870918752079,0.178304384862452,1.69175465130118,0.372482011406153
0.14845803388805,-0.402949854840122,1.7820501704144,0.34768743493722
0.141800724738846,-0.427338080238965,1.82296346331365,0.425933257065868
0.154581148296257,0.0982296720121069,1.74431084475547,0.379944904333357
0.124039107096415,-0.176779785658242,1.59424018836664,0.35344408147443
0.144343042027403,0.218562127802159,1.79643887873818,0.413722347522946
0.0917526837853318,0.0634971679806011,1.33721483070553,0.382151960684142
0.117943914474721,-0.0866178852767413,1.54245208618872,0.382991200372978
0.146730161219348,0.111502208023999,1.6666232810412,0.318383691725334
0.112838926727298,0.204374205161114,1.36616476801594,0.436194388288613
0.132927391559238,-0.0028782436743357,1.64711144951974,0.37479619865636
0.163363980451357,0.0620169498454926,1.95933558720839,0.509171112704055
0.115866600955669,-0.39333379611387,1.50723890827441,0.395127258370665
0.112859290112827,-0.165002604468336,1.53499005226592,0.469914358388514
0.124954001072111,0.0774898663641463,1.47774310553567,0.395629190065152
0.14237609067617,0.288503201545938,1.70371407330538,0.521617604952829
0.0935331138466514,-0.185014451809602,1.33286312291911,0.466151032168127
0.0932321325208171,-0.207119772077539,1.38662897557997,0.429618098245566
0.129510996554593,0.0072103762174065,1.56053623460297,0.346703482765886
0.119072218401691,0.129549435371687,1.44783385782528,0.415035479088865
0.145289197931197,-0.0693120569546988,1.83603098032227,0.465070507377317
0.105242297857125,0.247650966948691,1.4830635593496,0.439359487432878
0.141043584322867,0.030109236063506,1.66770811725822,0.416199050249899
0.125367600081994,-0.11889757593487,1.56931379124422,0.389796737939654
0.140344668404665,-0.207174320931939,1.59745517434531,0.37535057571168
0.138874377143863,0.0107500902890243,1.58821775097963,0.40317666994059
0.103373345271134,-0.178462247544307,1.49070417641167,0.368545697557679
0.119135668153235,-0.162052188942884,1.5596073746493,0.457302804318467
0.149970506587502,-0.503795638834099,1.82311094027867,0.323098055372971
0.165972903132847,0.0656311042243677,1.93662883792483,0.331470077820111
0.166329752238843,0.21813701460807,1.87326272647249,0.442282699174847
0.120847613369512,-0.327395296303222,1.54936152733742,0.390387214853355
0.119962052321222,-0.0129520604802437,1.56002831495822,0.324423243221236
0.134604877599414,0.273727514929542,1.62291327494049,0.411002884829309
0.125550433757298,0.279996256493916,1.67108820178965,0.415552051656336
0.1399578377376,0.109921659114147,1.68457269171111,0.328854432686295
0.0961764874539337,0.161376279725858,1.31821428821603,0.449559382017737
0.132095128210515,-0.0653715353734931,1.6658146121871,0.387952465382011
0.114542252467183,0.132524677272915,1.45435434551851,0.434113293377725
0.09417940098917,0.146903281041163,1.35680726170639,0.406389205586447
0.136479974345832,-0.135238173614348,1.85605817964486,0.458948733990862
0.134074223545581,-0.288020868436065,1.7103928472454,0.418328510775594
0.130378406612336,-0.310459941259874,1.65339273777629,0.429409308168345
0.125558704053948,-0.0556934000557656,1.66068956338682,0.42361286222193
0.10603718763532,0.438521563460995,1.41229375770128,0.441054191167774
0.123541160211936,0.0222242817742132,1.48993018192483,0.382079737954939
0.156989452139993,-0.0241506829114445,1.73822776970888,0.352689478857117
0.148381381417469,-0.303645430687612,1.76133564581701,0.37605509802159
0.127633107679741,-0.123461776597106,1.67218039477395,0.367077358258574
0.109616515287084,-0.00622398615929032,1.51073781339626,0.426482548216366
0.116274703810148,0.0316049531629939,1.48769090223306,0.385404851410996
0.150850314466364,-0.133780446716341,1.70931622658017,0.455515521817084
0.151522103094017,-0.0675999505264147,1.75378366711398,0.397981402836697
0.125385802506305,0.241989855927737,1.61652646702863,0.412781815726469
0.173401035595922,-0.0185187114556985,1.89830510583597,0.36408689633575
0.104898279781802,0.0761059838041269,1.53037261570575,0.499012372299117
0.144387219217455,0.167132320841421,1.7956225878746,0.383088266743275
0.157816199219305,-0.109897133425608,1.91832353606563,0.430688001251847
0.155433881810553,0.114288163133667,1.8256212060804,0.379948290565511
0.152027304811154,-0.0736408851209502,1.84468312870671,0.407906442550163
0.153535257872497,0.0179772776302833,1.83494513635837,0.403497099686915
0.133447457329019,-0.385397095593112,1.57475466898712,0.421873893169733
0.133084656999065,0.050710239682688,1.727804735097,0.408249202119488
0.136127621492187,-0.0465739313264042,1.69852386180117,0.413688957894955
0.132261513478351,0.204517201227256,1.69724421169312,0.326840532365934
0.138156874668135,0.253869361355639,1.78858141426599,0.34905104661571
0.140155881163016,0.119863727231609,1.68487118374521,0.375623956659039
0.169590892024432,0.311502969733575,1.95127782906736,0.401170701402784
